category,normalized_name,grape_witches_url,gw_title,gw_winery_display,gw_wine_display,gw_grape_display,gw_region_display,gw_description,gw_thumbnail_url,gw_price,vivino_rating,vivino_num_ratings,vivino_url,vivino_confidence,vivino_match_reason,needs_review
Canadian Cuties,Revel x GW 'Chambarine' Nectarine Chambourcin & Apple,https://grapewitches.com/products/revel-chambarine,'Chambarine',,,,,"Nectarine, Chambourcin &amp; Apple, Guelph, Ontario An aromatic, gently sparkling and succulent multi-fruit blend from Ontario! Pieced together from tree and vine on a snowy winter morning by some Grape Witches, and Revel head honcho Tariq, we are delighted to bring this jolly juice straight to your taste buds. Made fr",http://grapewitches.com/cdn/shop/files/05_07_25_017.jpg?v=1747330578,$23.00,,,,,No candidate with parsed rating.,True
Canadian Cuties,Trail Estate 'Supersonic' Concord Prince Edward County,https://grapewitches.com/products/trail-estate-super-sonic,'Supersonic',,,,,"Concord, Niagara, Ontario | For all our talk about regional grapes from around the world, we hardly talk about one of the grape-iest grape of them all: the Concord! Once the backbone of Ontario's wine industry, this winter-hardy grape was grown for over 150 years until it fell out of favour as wines from California and Europe entered the market. But comebacks are all the rage right now and this scruffy pet-nat reminds us that great things DO grow in Ontario! Sourced from the Lipsitt Vineyard in Niagara, these difficult-to-process grapes undergo several long pressings before being wild fermented to dryness and bottled with unfermented juice to kickstart fermentation in the bottle. Tart, wildberry acid, extra-juicy Welch's fruit, berry crumble, Fruitsations gummies & a touch of earthy funk = the best take on purple Crush we've ever had.",http://grapewitches.com/cdn/shop/products/01_26_2023_53.jpg?v=1739646318,$43.00,4.1,81,https://www.vivino.com/w/8341468,low,producer_overlap=0.75; cuvee_overlap=0.00; title_hint_overlap=0.43; title='Trail Estate Winery Supersonic',True
Canadian Cuties,Scout Riesling,https://grapewitches.com/products/scout-riesling,Riesling 2022,,,,,"Riesling, Similkameen Valley, British Columbia | Undoubtedly one of the hottest natural wine projects to come out of British Columbia, Scout's Riesling was the first to make a splash in the natural wine world – like all of their wines, so beautiful, luscious & texturally vibrant! Grapes were gently pressed into neutral barrels where it underwent a long, 10 month spontaneous fermentation, followed by 18 months of aging on the lees and bottling without fining or filtration. Shimmering and ephemeral like a heat mirage on hot, sunny day, lime blossom, Sprite, grapefruit pith, salty, crystalline minerality, Pop Rocks energy, Pikachu acid & a tart, green apple finish. Cares less about Barthes' A Lover's Discourse and more about bell hooks' All About Love, and rightly so.&nbsp;",http://grapewitches.com/cdn/shop/products/Other_08.jpg?v=1739646560,$65.00,4.1,449,https://www.vivino.com/w/7983362,high,producer_overlap=1.00; cuvee_overlap=1.00; title_hint_overlap=0.67; title='Scout Skin Contact Riesling',False
Canadian Cuties,Khush 'Khush Raho' Viognier Niagara,https://grapewitches.com/products/khush-khush-raho,'Raho',,,,,"Viognier, Niagara, Ontario A luscious and lovely viognier skin-contact made in collaboration with one of our favourite local fermenters! Winemaker Nupur Gogia is a wine agent, nice pal, Vinequity co-founder and MW from Toronto! #LetsSeeYourCV? 'Khush' is her flourishing low-intervention wine project named after the Hi",http://grapewitches.com/cdn/shop/files/KhushRaho2.jpg?v=1776959465,$37.00,,,,,Not listed on Vivino (manual list).,False
Canadian Cuties,Pearl Morissette 'Roselana' Pinot Noir & Gamay Niagara,https://grapewitches.com/products/pearl-morissette-roselana,'Roselana',,,,,"Pinot Noir, Gamay, Merlot & Lemberger, Niagara, Ontario, Canada | Another idiosyncratic classic from the rule-breakers at Pearl Morissette, this dark rosé has flirted with being a light red but has instead chosen to bring rigour to the world of whimsical rosés! An unapologetic laugh in the face of being taken lightly, which we love. Grapes, from classic - light Gamay and plush Merlot - to adventurous - move over Austria, Ontario is here with its own take of Lemberger aka spicy and round Blaufrankisch! - spend a brief staycation on their skins before fermenting separately in concrete, texture-giving tanks. They're later blended, aged for another two months in tank&nbsp;to ~come together~ & bottled unfined and unfiltered. Lipstick kiss on the vanity, cherry Lipsmacker, cherry pot pie, ushy gushy strawberry with an offbeat kick in its step until you realize that it's totally dry and thus, totally lean & sexy despite the aforementioned exuberance. An all-weather rosé with the freshness of a white & the structure of a red, pair with pork tenderloin, the white meat of red meats, another genre-bender!",http://grapewitches.com/cdn/shop/files/Rodan-GrapeWitches-062024-162.jpg?v=1739646509,$49.00,3.9,479,https://www.vivino.com/w/5517526,low,producer_overlap=0.50; cuvee_overlap=0.00; title_hint_overlap=0.43; title='Pearl Morissette Cuvée Roselana',True
Canadian Cuties,Ontario House 'Vingt Cinq' Gamay Niagara,https://grapewitches.com/products/ontario-house-vingt-cinq,'Vingt Cinq',,,,,"Gamay, Niagara, Canada Celebrate THIS YEAR'S HARVEST with our freshest Ontario House drop, 2025 gamay. Think of it as a late farmers' market haul, inspired by Beaujolais Nouveau wines in France, and the wine version of the freshest market veggies. Made by our friends Paradise Grapevine using the traditional Beaujolais",http://grapewitches.com/cdn/shop/files/GW_10_31_25_015.jpg?v=1763753992,$27.00,,,,,Not listed on Vivino (manual list).,False
Canadian Cuties,Drinks Farm 'Caravaggio' L'Acadie Blanc & Cabernet Franc Niagara,https://grapewitches.com/products/drinks-farm-caravaggio,'Caravaggio',,,,,"L'Acadie Blanc &amp; Cabernet Franc, Niagara, Ontario, Canada Earthy, verdant and zero-zero, 'Caravaggio' is the latest wine released by visionary Ontario winemaker Drea Scotland! Driven, unendingly knowledgable and KEY industry advocate, Drea Scotland's project Drinks Farm, is all about grounding curiosity, newfound",http://grapewitches.com/cdn/shop/files/IMG_0071-Edit.jpg?v=1766339070,$44.00,,,,,Not listed on Vivino (manual list).,False
Canadian Cuties,Ontario House 'Raver Dave's Cab Franc' Cabernet Franc Niagara,https://grapewitches.com/products/raver-daves-cab-franc,'Raver Dave's Cab Franc',,,,,"Cab Franc, Niagara, Ontario, Canada | Meet RAVER DAVE'S! A lip-smacking, spicy and satisfying Niagara Cab Franc that is part power, part deep fruit. Made in collaboration with our darling pals over at Paradise Grapevine and a part of our Ontario House project bringing well priced, interesting and delicious local wines to your table. Made from two parcels at Willms Vineyard in Four Mile Creek, one younger plot bringing LIVELY juiced-up flare, the other 37 and showing more classically rich and brooding. FUN FACT! When we were barrel tasting in the PGV Geary cellar, we LOVED the young parcel's vibrancy and undeniably delicious purple fruit, but we were charmed by the structure, maturity and finesse of the more classic-leaning older parcel. We couldn't choose and knew it was time to BLEND. This bottling feels like the last drops of summer warmth, trapped like a message in a bottle reading ""the party isn't over yet!"", while wiggling into its beat up leather jacket and coziest blanker scarf. Ready for your next rave (obvi), family brunch or horror film marathon.",http://grapewitches.com/cdn/shop/files/11_07_24_025.jpg?v=1739644764,$27.00,,,,,Not listed on Vivino (manual list).,False
Salty & Savoury,Azores Wine Company 'Verdelho o Original' Verdelho do Pico Azores,https://grapewitches.com/products/azores-wine-company-azores-verdelho-e-original,'Verdelho e Original',,,,,"Verdeho o Original, Azores, Portugal A salty, volcanic and entirely unique Portuguese white to take you back in time! Worldly winemaker Antonio Maçanita works to capture the essence of regional terroir and traditions through the grapes that move him from the island of Pico, which is also a UNESCO World Heritage Site. H",http://grapewitches.com/cdn/shop/files/AzoresVerdelho2.jpg?v=1776962721,$92.00,4.0,2440,https://www.vivino.com/w/3529565,high,producer_overlap=0.75; cuvee_overlap=1.00; title_hint_overlap=0.67; title='Azores Wine Company Verdelho o Original',False
Salty & Savoury,Clai 'Baracija' Malvasia Istria,https://grapewitches.com/products/clai-baracija,'Baracija',,,,,"Malvasia, Istria, Croatia A fleshy, dense and aromatic Croatian malvasia for springtime spectacles. From the northern part of the Istrian peninsula, close to the Slovenian and Italian border, Clai encompasses 10 hectares of vineyards and 5 hectares of olive trees, 200 metres above sea level. The malvasia grapes for 'Ba",http://grapewitches.com/cdn/shop/files/GW_04_14_26_013.jpg?v=1776795828,$70.00,4.0,524,https://www.vivino.com/w/7235957,low,producer_overlap=0.67; cuvee_overlap=0.00; title_hint_overlap=0.50; title='Clai Baracija Malvazija',True
